instance_id,tag,seed,n_vars,mechanism_class,has_self_edge,poset_shape,graham_acyclic,n_realized_patterns,target,true_value,gt_recoverable,gt_evidence,lp_width,witness_delta_phi,sheaf_recoverable,phi_spread_over_fiber,n_distinct_completions,observed_family_completable,conflict_mcar_style,agreement
n2_s017_d0,n2,20287901,2,MNAR_other,False,acyclic,True,4,"['mean', 1]",0.48789936873251444,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s013_d0,n2,20283901,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",0.7007199481019466,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s013_d0,n2,20283901,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",,RECOVERABLE,formula:anchor_direct,,,RECOVERABLE,0.0,1,False,True,True
n2_s019_d0,n2,20289901,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",,RECOVERABLE,formula:anchor_direct,,,RECOVERABLE,1.6653345369377348e-16,12,False,True,True
n2_s019_d0,n2,20289901,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",0.3090755579874879,UNRECOVERABLE,model_witness dphi=0.2259 dist=1.1e-16,0.5,0.22591520149621774,UNRECOVERABLE,0.2048163640811782,12,False,True,True
n2_s017_d1,n2,20287902,2,MNAR_other,False,acyclic,True,4,"['mean', 0]",,RECOVERABLE,formula:anchor_direct,,,RECOVERABLE,0.0,1,False,True,True
n2_s017_d1,n2,20287902,2,MNAR_other,False,acyclic,True,4,"['mean', 1]",0.7935772741099325,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s019_d1,n2,20289902,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",,RECOVERABLE,formula:anchor_direct,,,RECOVERABLE,3.885780586188048e-16,12,False,True,True
n2_s019_d1,n2,20289902,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",0.7644435736286903,UNRECOVERABLE,model_witness dphi=0.2458 dist=1.1e-16,0.5,0.24584018742631464,UNRECOVERABLE,0.1537608811850415,12,False,True,True
n2_s018_d0,n2,20288901,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",,RECOVERABLE,formula:anchor_direct,,,RECOVERABLE,0.0,1,False,True,True
